"Scenario_EpCon_ID_Resp","generated response","group"
"scenario 11_knowledge_330_3","she could ask the child if she knows the man",""
"scenario 11_knowledge_334_3","Annie could let the girl go and say 'not my problem'",""
"scenario 11_knowledge_336_3","Tell Maria that she will go get her some candy and then quickly remove the child from the situation.",""
"scenario 11_knowledge_344_3","Stall and talk to the man until the father returns. ",""
"scenario 11_knowledge_352_3","call the cops",""
"scenario 11_knowledge_355_3","Walk with Maria and wait outside of the restroom for her father, away from the stranger.",""
"scenario 11_knowledge_357_3","She could do nothing",""
"scenario 11_knowledge_368_3","she could take Annie and go find the policeman",""
"scenario 11_knowledge_369_3","She could lie and tell Maria, loud enough for the man to hear her, that the police officer they just saw told her to never accept candy from a stranger.",""
"scenario 11_knowledge_384_3","move the child closer to the bathroom (where dad is)",""
"scenario 11_knowledge_388_3","Stay in public view while talking loudly to the man offering candy",""
"scenario 11_knowledge_389_3","Alert police of the man when she can",""
"scenario 11_knowledge_396_3","Get distance from the man.",""
"scenario 11_knowledge_401_3","Stay with Maria and not let her go with the man.",""
"scenario 11_knowledge_405_3","see if we can find the police",""
"scenario 11_knowledge_406_3","Stay Calm and Assertive",""
"scenario 11_knowledge_407_3","Take Maria to the restroom and wait for the dad there",""
"scenario 11_knowledge_408_3","Hold Maria and scream for help.",""
"scenario 11_knowledge_409_3","Tell the man no, and take Maria with you to the restrooms to find her father quickly.",""
"scenario 11_knowledge_411_3","Anne could sweep Maria up in her arms and move away.",""
"scenario 11_knowledge_412_3","get the dad",""
"scenario 11_knowledge_413_3","Look for the policeman and get him involved",""
"scenario 11_knowledge_414_3","Annie might use her phone to call the police or alert nearby park staff about the suspicious individual.",""
"scenario 11_knowledge_415_3","She could take Maria with her to tell the police what's going on",""
"scenario 11_ignorance_1_3","look at her surroundings",""
"scenario 11_ignorance_3_3","Let Maria's dad know what happened.",""
"scenario 11_ignorance_14_3","Retrace her steps",""
"scenario 11_ignorance_15_3","diall 911",""
"scenario 11_ignorance_18_3","Annie could tell Maria to go find her dad in the mens room",""
"scenario 11_ignorance_20_3","Call 911",""
"scenario 11_ignorance_24_3","She could tell the man that Maria's dad will be out of the restroom shortly",""
"scenario 11_ignorance_25_3","Call the police",""
"scenario 11_ignorance_28_3","She could not allow Maria to try any candy",""
"scenario 11_ignorance_29_3","good",""
"scenario 11_ignorance_35_3","Go with her ",""
"scenario 11_ignorance_38_3","Tell the man to leave right now or get a face full of pepper spray.",""
"scenario 11_ignorance_40_3","go to restroom tell father ",""
"scenario 11_ignorance_42_3","yell for help and for the man to get away",""
"scenario 11_ignorance_49_3","Hold girls hand and threaten to call the cops.",""
"scenario 11_ignorance_53_3","Tell the man to leave, and start yelling for help if he doesn't.",""
"scenario 11_ignorance_62_3","tell the man no",""
"scenario 11_ignorance_65_3","take her to the bathroom where her dad is",""
"scenario 11_ignorance_66_3","Ask Maria if she knows the man.",""
"scenario 11_ignorance_69_3","take maria to her dad",""
"scenario 11_ignorance_74_3","Do not let maria go",""
"scenario 11_ignorance_76_3","EXPLAIN TO MARIA THAT HE DID WILL BE ANGRY WITH HER ",""
"scenario 11_ignorance_86_3","yell for help",""
"scenario 11_ignorance_93_3","Take a video/photo of the man ",""
"scenario 11_ignorance_94_3","call the police",""
"scenario 11_ignorance_96_3","Pretend to be the girl's mother.",""
"scenario 11_ignorance_100_3","Call out for help",""
"scenario 11_ignorance_102_3","take man to leave",""
"scenario 11_ignorance_106_3","call the police",""
"scenario 11_ignorance_108_3","scream for help",""
"scenario 11_ignorance_111_3","start screaming for help",""
"scenario 11_ignorance_131_3","Tell the man to leave",""
"scenario 11_ignorance_135_3","look around for help",""
"scenario 11_ignorance_138_3","yell",""
"scenario 11_ignorance_145_3","threaten to call the police",""
"scenario 11_ignorance_147_3","Take Maria to look for her father.",""
"scenario 11_ignorance_156_3","Signal for Help",""
"scenario 11_ignorance_161_3","Tell the guy he's a creep for offering a kid candy at a park",""
"scenario 11_ignorance_166_3","Let the man take Maria",""
"scenario 11_ignorance_170_3","Annie could tell the man to leave",""
"scenario 11_ignorance_179_3","Tell Maria never talk to strangers",""
"scenario 11_ignorance_191_3","Scream for help.",""
"scenario 11_ignorance_200_3","Tell Maria that she didn't receive her father's permission first and must wait",""
"scenario 11_ignorance_201_3","Call for help",""
"scenario 11_ignorance_209_3","Annie could strongly tell the man that if he does not leave now, she will report him to the police.",""
"scenario 11_ignorance_210_3","Yell for help",""
"scenario 11_ignorance_211_3","Take Maria's hand and walk towards the bathrooms. ",""
"scenario 11_ignorance_218_3","Annie can make a scene about it, and draw attention to it.",""
"scenario 11_ignorance_219_3","explain to Maria to wait for her father to arrive",""
"scenario 11_ignorance_225_3","annie could tell the man to leave them alone",""
"scenario 11_ignorance_226_3","Seek help",""
"scenario 11_ignorance_228_3","Look for Park Personnel",""
"scenario 11_ignorance_234_3","Annie can ask a stranger to get the man to go away.",""
"scenario 11_ignorance_236_3","Annie could position herself between Maria and the man, physically blocking his access to Maria and preventing her from following him. This can serve as a deterrent and buy time until the father returns.",""
"scenario 11_ignorance_238_3","She could ask the man to leave nicely",""
"scenario 11_ignorance_243_3","Annie calls for help on her phone",""
"scenario 11_ignorance_246_3","start yelling for help",""
"scenario 11_ignorance_247_3","Start screaming for help",""
"scenario 11_ignorance_251_3","Look for a police officer",""
"scenario 11_ignorance_253_3","Use her cell phone to call the police",""
"scenario 11_ignorance_260_3","Tell him her father will be back any minute",""
"scenario 11_ignorance_269_3","tell the girl she  needs to wait for her dad",""
"scenario 11_ignorance_271_3","go with maria",""
"scenario 11_ignorance_272_3","approach another nearby adult or group of people ",""
"scenario 11_ignorance_279_3","Ask Maria to Describe Her Father to Confirm They Are Together",""
"scenario 11_ignorance_280_3","Grab the child ",""
"scenario 11_ignorance_283_3","Annie could scream for help.",""
"scenario 11_ignorance_284_3","She could scream out for help",""
"scenario 11_ignorance_291_3","She could get up and take the girls hand and walk together towards the restrooms.",""
"scenario 11_ignorance_292_3","Address the stranger and ask him to leave",""
"scenario 11_ignorance_301_3","Grab Maria and hold her with her arms around her, while explaining to Maria why she is doing that",""
"scenario 11_ignorance_304_3","Restrain Maria",""
"scenario 11_ignorance_305_3","She could carry the little girl and run off.",""
"scenario 11_ignorance_306_3","make noise to draw attention to whats happening",""
"scenario 11_ignorance_309_3","do not allow Maria to go with the man",""
"scenario 11_ignorance_315_3","Annie can immediately call the police and have the man arrested.",""
"scenario 11_ignorance_316_3","Grab Annie and move away from the man",""
"scenario 11_ignorance_317_3","Ask bystanders for help",""
"scenario 11_ignorance_321_3","Ask Annie if she knows the man",""
"scenario 11_ignorance_323_3","Call the police",""
"scenario 11_ignorance_328_3","Pretend Annie is her daughter and temporarily walk away with her",""
"scenario 11_ignorance_338_3","Take the little girl on the other side",""
"scenario 11_ignorance_339_3","Take the girl to the father in the restroom",""
"scenario 11_ignorance_340_3","Yell and get the fathers attention.",""
"scenario 11_ignorance_343_3","call 911",""
"scenario 11_ignorance_346_3","Tell the man to scram",""
"scenario 11_ignorance_350_3","Call 911 for help",""
"scenario 11_ignorance_351_3","engage the child in a conversation or distract her with something so she ignores the man ",""
"scenario 11_ignorance_372_3","Tell the man that the child's father is there",""
"scenario 11_ignorance_377_3","Act mentally crazy to scare the guy off",""
"scenario 11_ignorance_379_3","go with her to see about the candy",""
"scenario 11_ignorance_385_3","ignore the situation",""
"scenario 11_ignorance_402_3","Go with Maria to get candy.",""
"scenario 11_ignorance_410_3","Fetch Maria's father",""
"scenario 11_ignorance_418_3","Ask the man to please wait for her father to return. ",""
"scenario 12_knowledge_2_3","Break the door",""
"scenario 12_knowledge_3_3","Attempt to pick the lock to open the door",""
"scenario 12_knowledge_11_3","look for the spare key without asking",""
"scenario 12_knowledge_13_3","Look for another way in.",""
"scenario 12_knowledge_20_3","Call the family, ask location of spare key",""
"scenario 12_knowledge_23_3","Go look for the key",""
"scenario 12_knowledge_29_3","dog",""
"scenario 12_knowledge_31_3","Tony could get in touch with the neighbors and ask where the spare key is.",""
"scenario 12_knowledge_33_3","Break a window",""
"scenario 12_knowledge_43_3","Break in.",""
"scenario 12_knowledge_47_3","leave",""
"scenario 12_knowledge_51_3","Text his neighbors and ask where the spare key is. ",""
"scenario 12_knowledge_54_3","Leave the dog",""
"scenario 12_knowledge_77_3","break window",""
"scenario 12_knowledge_84_3","Look under the mat.",""
"scenario 12_knowledge_95_3","go back home",""
"scenario 12_knowledge_100_3","Try contacting the neighbors",""
"scenario 12_knowledge_101_3","go home and get the key",""
"scenario 12_knowledge_102_3","talk to the dog to try to sooth him",""
"scenario 12_knowledge_110_3","Call a locksmith",""
"scenario 12_knowledge_111_3","let dog know you hear him so he calms down",""
"scenario 12_knowledge_112_3","Try to get in the house another way.",""
"scenario 12_knowledge_116_3","Call neighbors and ask them where spare key is.",""
"scenario 12_knowledge_121_3","Try to climb in window",""
"scenario 12_knowledge_130_3","Leave the dog",""
"scenario 12_knowledge_136_3","guess where the family left the key",""
"scenario 12_knowledge_137_3","Reach through the mail slot to comfort the dog.",""
"scenario 12_knowledge_143_3","See if window is unlocked.",""
"scenario 12_knowledge_144_3","ask for key",""
"scenario 12_knowledge_156_3","Contact Homeowners",""
"scenario 12_knowledge_157_3","Break a window. ",""
"scenario 12_knowledge_170_3","Brake into the house",""
"scenario 12_knowledge_171_3","Call the family to ask where the key is ",""
"scenario 12_knowledge_172_3","bathroom",""
"scenario 12_knowledge_173_3","Try and look for the spare key",""
"scenario 12_knowledge_175_3","Call the family",""
"scenario 12_knowledge_176_3","check in normal places people hide keys",""
"scenario 12_knowledge_183_3","look for a window to open",""
"scenario 12_knowledge_186_3","Break down the door",""
"scenario 12_knowledge_187_3","Tony could check to see if other doors were open",""
"scenario 12_knowledge_190_3","Ask another neighbor if they have a key ",""
"scenario 12_knowledge_191_3","Break a window to get in.",""
"scenario 12_knowledge_193_3","go through a window",""
"scenario 12_knowledge_194_3","Call home and ask someone to bring the key",""
"scenario 12_knowledge_195_3","Tony could look at usual spots for hiding a key to see if he could find it.",""
"scenario 12_knowledge_201_3","See a hypnotist",""
"scenario 12_knowledge_202_3","find a way to break in",""
"scenario 12_knowledge_210_3","Kick down the door",""
"scenario 12_knowledge_216_3","Tony could ask nearby neighbors if they have a spare key for his neighbors' house or if they know of any alternative entry points that could be used to access the house.",""
"scenario 12_knowledge_218_3","Tony can just wait for the dog to relieve itself, and then clean up before the neighbors get home.   Assuming he eventually finds the missing key.",""
"scenario 12_knowledge_221_3","Call the neighbors and see what they suggest.",""
"scenario 12_knowledge_226_3","Contact family",""
"scenario 12_knowledge_229_3","Go back home and get the key",""
"scenario 12_knowledge_231_3","call a locksmith ",""
"scenario 12_knowledge_239_3","Retrace steps",""
"scenario 12_knowledge_245_3","Seek Help from Friends or Family",""
"scenario 12_knowledge_247_3","Search for an entrance into the house",""
"scenario 12_knowledge_253_3","Call a locksmith or the police to open the door",""
"scenario 12_knowledge_254_3","break in",""
"scenario 12_knowledge_260_3","Go back home and get the key then deal with the mess",""
"scenario 12_knowledge_263_3","attempt to get in through other means",""
"scenario 12_knowledge_276_3"," Tony could ask nearby neighbors if they have a spare key or if they know where the family usually keeps their spare key.",""
"scenario 12_knowledge_282_3","call his neighbors",""
"scenario 12_knowledge_283_3","He could break a window to enter into the house.",""
"scenario 12_knowledge_293_3","Return home to find the key.",""
"scenario 12_knowledge_294_3","Ask someone for help",""
"scenario 12_knowledge_295_3","search for the key at home",""
"scenario 12_knowledge_300_3","look for an unlocked window ",""
"scenario 12_knowledge_306_3","check the windows to see if they are locked",""
"scenario 12_knowledge_307_3","Call the owner and tell him to get back to help his dog.",""
"scenario 12_knowledge_310_3","Tony might consider reaching out to his neighbors via phone to inquire if they recall the location of the spare key.",""
"scenario 12_knowledge_311_3","Find the spare key.",""
"scenario 12_knowledge_313_3","Tony could try to contact his neighbors to ask about the location of the spare key",""
"scenario 12_knowledge_314_3","Go home and get key ",""
"scenario 12_knowledge_318_3","He could get the dog a place to ease himself in the interim.",""
"scenario 12_knowledge_325_3","He could try a window",""
"scenario 12_knowledge_326_3","ignore the whole situation",""
"scenario 12_knowledge_335_3","Tony can call the family, explain the situation and ask where the spare key is kept",""
"scenario 12_knowledge_348_3","Return to his home to retrieve the key.",""
"scenario 12_knowledge_358_3","look for the key",""
"scenario 12_knowledge_360_3","call a locksmith",""
"scenario 12_knowledge_361_3","Stand there like a bump on a log",""
"scenario 12_knowledge_363_3","go home to get the key",""
"scenario 12_knowledge_365_3","Break a window to gain access",""
"scenario 12_knowledge_366_3","Allow the dog to poop and collect it later",""
"scenario 12_knowledge_369_3","Search for the spare key.",""
"scenario 12_knowledge_370_3","Go back home and don't worry about the dog",""
"scenario 12_knowledge_371_3","Call the police and have them break in ",""
"scenario 12_knowledge_373_3","Try to contact his neighbors for another option.",""
"scenario 12_knowledge_374_3","Ask for help",""
"scenario 12_knowledge_376_3","take the dog into his yard to go to the bathroom",""
"scenario 12_knowledge_378_3","check his pockets in other clothes",""
"scenario 12_knowledge_379_3","break into he home",""
"scenario 12_knowledge_383_3","contact family",""
"scenario 12_knowledge_394_3","Call the Family",""
"scenario 12_knowledge_401_3","Try to calm the dog down.",""
"scenario 12_knowledge_410_3","Try to break a window to get into the home",""
"scenario 12_knowledge_417_3","call the neighbors and ask them",""
"scenario 12_knowledge_418_3","Search for a spare key on his own--in some usual places like under a mat, etc. ",""
"scenario 12_ignorance_7_3","ignore the dog",""
"scenario 12_ignorance_8_3","Make sure you check your pockets and belongings thoroughly.",""
"scenario 12_ignorance_9_3","call a locksmith",""
"scenario 12_ignorance_10_3","Break a window",""
"scenario 12_ignorance_14_3","Ask neighbors",""
"scenario 12_ignorance_19_3","Emergency Contact with Neighbors",""
"scenario 12_ignorance_21_3","would communicate with the neighbors",""
"scenario 12_ignorance_28_3","He could try looking for an unlocked door",""
"scenario 12_ignorance_39_3","break door",""
"scenario 12_ignorance_40_3","look for spare",""
"scenario 12_ignorance_44_3","look for the key around his house",""
"scenario 12_ignorance_45_3","Climb in the window",""
"scenario 12_ignorance_48_3","contact the neighbors",""
"scenario 12_ignorance_49_3","Call a locksmith.",""
"scenario 12_ignorance_52_3","check if he can use a window to get inside",""
"scenario 12_ignorance_53_3","Retrace his steps to find where the key could be.",""
"scenario 12_ignorance_55_3","Tony should see if any windows or doors are unlocked.",""
"scenario 12_ignorance_58_3","Go home and check",""
"scenario 12_ignorance_67_3","go back to his house and look for the key",""
"scenario 12_ignorance_69_3","look in his car for the key",""
"scenario 12_ignorance_73_3","Ask his parents",""
"scenario 12_ignorance_74_3","See if a window is open",""
"scenario 12_ignorance_75_3","He could break the window and get in.",""
"scenario 12_ignorance_76_3","SEE IF THERE IS ANOTHER DOOR",""
"scenario 12_ignorance_80_3","Break in the house",""
"scenario 12_ignorance_83_3","Ask one of the neighbors if they have a spare key.",""
"scenario 12_ignorance_86_3","call a locksmith",""
"scenario 12_ignorance_88_3","Call the neighbors",""
"scenario 12_ignorance_90_3","break in",""
"scenario 12_ignorance_97_3","check with a neighbor to see if they have a key",""
"scenario 12_ignorance_98_3","Call a locksmith",""
"scenario 12_ignorance_103_3","Break the door down.",""
"scenario 12_ignorance_104_3","Leave the dog ",""
"scenario 12_ignorance_108_3","break into the house",""
"scenario 12_ignorance_109_3","Return home and forget the dog",""
"scenario 12_ignorance_119_3","back track to see it he dropped it",""
"scenario 12_ignorance_123_3","Contact the Neighbors",""
"scenario 12_ignorance_125_3","Check all the doors & windows for unlocked areas",""
"scenario 12_ignorance_128_3","Try to open a window",""
"scenario 12_ignorance_129_3","See if a window or door was left unlocked.",""
"scenario 12_ignorance_132_3","break a window ",""
"scenario 12_ignorance_134_3","Break a window or door to get in and let the dog out",""
"scenario 12_ignorance_135_3","call police for help",""
"scenario 12_ignorance_145_3","break into the house",""
"scenario 12_ignorance_147_3","Check and see if a door is unlocked.",""
"scenario 12_ignorance_148_3","Look for hiding places for a spare",""
"scenario 12_ignorance_151_3","look around neighbors door stop/porch for spare key",""
"scenario 12_ignorance_154_3","Remember",""
"scenario 12_ignorance_168_3","Look around for a spare key to verify if his assumption is correct.",""
"scenario 12_ignorance_174_3","He could look under the doormat to see if they hid a spare key",""
"scenario 12_ignorance_177_3","take the dog to his home",""
"scenario 12_ignorance_178_3","go home and not walk the dog",""
"scenario 12_ignorance_181_3","kick the door in",""
"scenario 12_ignorance_188_3","see if there is an open window",""
"scenario 12_ignorance_196_3","check for unlocked doors/windows and go in that way",""
"scenario 12_ignorance_203_3","Call the family and ask if they have another spare key",""
"scenario 12_ignorance_204_3","Check for any open doors or windows",""
"scenario 12_ignorance_222_3","break open the door",""
"scenario 12_ignorance_228_3","Contact Neighbors",""
"scenario 12_ignorance_232_3","Break out a window.",""
"scenario 12_ignorance_234_3","He could try looking for an open window to climb into.",""
"scenario 12_ignorance_235_3","Find an alternative entry",""
"scenario 12_ignorance_240_3","Tony should try to pick the lock.",""
"scenario 12_ignorance_241_3","Go back home ",""
"scenario 12_ignorance_243_3","Tony can ignore the dog",""
"scenario 12_ignorance_248_3","Ask a neighbor if they have a spare",""
"scenario 12_ignorance_249_3","Retrace their steps to see where they might have left the key",""
"scenario 12_ignorance_258_3","He can call a locksmith to open the door.",""
"scenario 12_ignorance_265_3","Check the doors to see if they are locked",""
"scenario 12_ignorance_270_3","Go home for the key",""
"scenario 12_ignorance_278_3","call a locksmith",""
"scenario 12_ignorance_280_3","Can a new key ",""
"scenario 12_ignorance_285_3","call his neighbors ",""
"scenario 12_ignorance_290_3","Break the door",""
"scenario 12_ignorance_291_3","He could just return home and screw off his responsibilities.",""
"scenario 12_ignorance_297_3","Look under doormats, flower planters, etc, near front and back door",""
"scenario 12_ignorance_301_3","Call 911 to let them know the dog will be alone for a week, and inquire as to what he should do",""
"scenario 12_ignorance_302_3","Call a family member",""
"scenario 12_ignorance_304_3","Check with neighbors to see if they have a spare",""
"scenario 12_ignorance_312_3","Ask they neighbors if they might have a key",""
"scenario 12_ignorance_319_3","call the emergency contact to ask where the key is",""
"scenario 12_ignorance_328_3","Go home temporarily and try and find the key",""
"scenario 12_ignorance_330_3","he could leave the dog",""
"scenario 12_ignorance_331_3","Let the dog use the bathroom outside",""
"scenario 12_ignorance_336_3","Run back home for the key, even if that means the dog will use the bathroom in the house and he will have to clean it up later.",""
"scenario 12_ignorance_340_3","Kick the door in.",""
"scenario 12_ignorance_353_3","Break the door down",""
"scenario 12_ignorance_355_3","He can check to see if there is an unlocked door or window he could use to gain access to the house.",""
"scenario 12_ignorance_359_3","Knock on other neighbor's doors for help",""
"scenario 12_ignorance_368_3","he could search for a spare key",""
"scenario 12_ignorance_375_3","Leave and let the dog destroy the house",""
"scenario 12_ignorance_380_3","Check over his notes again",""
"scenario 12_ignorance_384_3","call locksmith ",""
"scenario 12_ignorance_388_3","Seek help elsewhere",""
"scenario 12_ignorance_400_3","He could break a window in order to get into the house",""
"scenario 12_ignorance_415_3","He could find a way in",""
"scenario 13_knowledge_2_3","give a discount",""
"scenario 13_knowledge_3_3","Put up flyers in the neighborhood or town",""
"scenario 13_knowledge_5_3","Hit friends up",""
"scenario 13_knowledge_8_3","Engage with the Community",""
"scenario 13_knowledge_9_3","call people",""
"scenario 13_knowledge_11_3","post flyers",""
"scenario 13_knowledge_14_3","Mention on social media",""
"scenario 13_knowledge_20_3","Call everyone in contacts",""
"scenario 13_knowledge_21_3","I could sell the tickets as a fundraiser.",""
"scenario 13_knowledge_27_3","Organize Ticket Sales Events",""
"scenario 13_knowledge_31_3","Jamie could do a raffle for the tickets.",""
"scenario 13_knowledge_42_3","buy the last 50 tickets himself",""
"scenario 13_knowledge_47_3","ask neighbors",""
"scenario 13_knowledge_52_3","ask teachers and students to remind everyone about the concert",""
"scenario 13_knowledge_53_3","Make a pretty graphic design showcasing the concert and advertise it on local social media.",""
"scenario 13_knowledge_56_3","cant think of more",""
"scenario 13_knowledge_61_3","Take out an add in the newspaper",""
"scenario 13_knowledge_64_3","stand outside of school and hand out flyers about the winter concert",""
"scenario 13_knowledge_65_3","write about it on Facebook",""
"scenario 13_knowledge_70_3","Reach out to businesses for sponsorship or promotion.",""
"scenario 13_knowledge_71_3","List the tickets online",""
"scenario 13_knowledge_76_3","HE CAN PURCHASE A QUANTITY HIMSELF AND INVITE OTHERS",""
"scenario 13_knowledge_83_3","Ask friends or family to help him sell the tickets.",""
"scenario 13_knowledge_85_3","buy all 50 tickets remaining",""
"scenario 13_knowledge_91_3","send flyers home with kids",""
"scenario 13_knowledge_96_3","Distribute flyers locally",""
"scenario 13_knowledge_100_3","Distribute flyers",""
"scenario 13_knowledge_107_3","ask friends to spread the word about the concert",""
"scenario 13_knowledge_110_3","Make a post on social media",""
"scenario 13_knowledge_113_3","Put on a bulletin board at grocery store",""
"scenario 13_knowledge_114_3","buy the tickets and give them away",""
"scenario 13_knowledge_116_3","Go door to door.",""
"scenario 13_knowledge_119_3","Jamie buy the 50 tickets left",""
"scenario 13_knowledge_121_3","Ask family and friends to buy tickets ",""
"scenario 13_knowledge_122_3","sit in front of a store",""
"scenario 13_knowledge_133_3","Post on social media about the tickets and their purpose",""
"scenario 13_knowledge_137_3","Paste fliers and notices at popular places.",""
"scenario 13_knowledge_139_3","Host an event to raffle off tickets",""
"scenario 13_knowledge_140_3","he could decide not to sell them",""
"scenario 13_knowledge_153_3","Jamie could encourage parents, teachers, and students to spread the word about the concert and encourage their friends and family to attend.",""
"scenario 13_knowledge_155_3","Sell tickets at a local sports game",""
"scenario 13_knowledge_158_3","Go to local businesses ",""
"scenario 13_knowledge_162_3","buy more tickets himself as a donation",""
"scenario 13_knowledge_167_3","Ask family or friends",""
"scenario 13_knowledge_169_3","Buy the tickets himself",""
"scenario 13_knowledge_173_3","Make banners for the concert",""
"scenario 13_knowledge_174_3","He could post on social media",""
"scenario 13_knowledge_177_3","donate personal money",""
"scenario 13_knowledge_181_3","Enlist other people to help him sell the tickets.",""
"scenario 13_knowledge_186_3","Give up, it's not his problem",""
"scenario 13_knowledge_188_3","make social media posts",""
"scenario 13_knowledge_194_3","Go door to door in neighborhood",""
"scenario 13_knowledge_196_3","commit fraud",""
"scenario 13_knowledge_197_3","Sell cookies ",""
"scenario 13_knowledge_200_3","Jamie could post the Concert on Tik Tok",""
"scenario 13_knowledge_209_3","He could pay for the concert tickets himself and then try to give them away to others for free.",""
"scenario 13_knowledge_212_3","advertise online",""
"scenario 13_knowledge_215_3","Go door to door in neighborhoods to try to sell the tickets",""
"scenario 13_knowledge_217_3","Jamie will buy all 50 tickets left. ",""
"scenario 13_knowledge_220_3","Jamie will buy them herself",""
"scenario 13_knowledge_224_3","throw the tickets away and say he lost them",""
"scenario 13_knowledge_227_3","Advertise them on Facebook.",""
"scenario 13_knowledge_229_3","Buy all the tickets himself",""
"scenario 13_knowledge_248_3","Post about it on social media",""
"scenario 13_knowledge_253_3","Put on a sandwich board and go around town with a bullhorn advertising the winter concert",""
"scenario 13_knowledge_256_3","He could buy more tickets himself.",""
"scenario 13_knowledge_257_3","sell them in the school",""
"scenario 13_knowledge_260_3","Enlist other parents to help",""
"scenario 13_knowledge_261_3","Jamie could buy all of the tickets and donate them to a local senior center",""
"scenario 13_knowledge_267_3","post a notice about them in a local social media group",""
"scenario 13_knowledge_270_3","Buy them himself",""
"scenario 13_knowledge_281_3","Remind everyone about the deadline",""
"scenario 13_knowledge_283_3","He could recruit people to help him sell the tickets.",""
"scenario 13_knowledge_286_3","Put an ad in the newspaper",""
"scenario 13_knowledge_287_3","Quit volunteering for the school",""
"scenario 13_knowledge_292_3","run  a special price on the tickets",""
"scenario 13_knowledge_301_3","offer tickets to members of his church or other club he belongs to",""
"scenario 13_knowledge_306_3","create fliers and advertise at the local mall",""
"scenario 13_knowledge_308_3","organize event to sell",""
"scenario 13_knowledge_318_3","Jamie should go to the classes and sell his tickets",""
"scenario 13_knowledge_320_3","reach out to local businesses ",""
"scenario 13_knowledge_326_3","announce it at an assembly",""
"scenario 13_knowledge_327_3","Put out some flyers in front of the school",""
"scenario 13_knowledge_337_3","not bother trying to sell them",""
"scenario 13_knowledge_341_3","ask neighbors to buy tickets",""
"scenario 13_knowledge_345_3","cold call",""
"scenario 13_knowledge_367_3","Ask friends and family to help with ticket sales",""
"scenario 13_knowledge_369_3","He could ask co-workers to buy some.",""
"scenario 13_knowledge_380_3","Make flyers to hang everywhere",""
"scenario 13_knowledge_391_3","post on social media about the tickets and event",""
"scenario 13_knowledge_393_3","Brainstorm ways he can sell more tickets",""
"scenario 13_knowledge_394_3","Offer Group Discounts or Incentives",""
"scenario 13_knowledge_395_3","post about them on his personal social media",""
"scenario 13_knowledge_396_3","Ask his parents to call others.",""
"scenario 13_knowledge_398_3","ask neighbors",""
"scenario 13_knowledge_400_3","He could stand outside a store and try to sell the tickets",""
"scenario 13_knowledge_412_3","go door to door",""
"scenario 13_ignorance_6_3","He can purchase all 50 tickets",""
"scenario 13_ignorance_7_3","pay for them all himself",""
"scenario 13_ignorance_15_3","give away the tickets",""
"scenario 13_ignorance_19_3","Clarify the Concert Date",""
"scenario 13_ignorance_22_3","getting the real time information",""
"scenario 13_ignorance_33_3","Call his wealthiest friend to try to sell the tickets",""
"scenario 13_ignorance_35_3","Buy the tickets himself",""
"scenario 13_ignorance_37_3","stand at store exit to sell tickets",""
"scenario 13_ignorance_38_3","Ask friends and family to buy tickets.",""
"scenario 13_ignorance_46_3","Post about it online.",""
"scenario 13_ignorance_48_3","inform potential buyers",""
"scenario 13_ignorance_51_3","Give up.",""
"scenario 13_ignorance_60_3","buy all the remaining tickets himself",""
"scenario 13_ignorance_73_3","Family",""
"scenario 13_ignorance_75_3","He could go sell them outside the school.",""
"scenario 13_ignorance_77_3","reach out to neighbors",""
"scenario 13_ignorance_84_3","Set up a table in front of the school",""
"scenario 13_ignorance_86_3","have a friend help",""
"scenario 13_ignorance_87_3","Offer a discount and pay for part of the tickets himself",""
"scenario 13_ignorance_88_3","Call all his friends to appeal for sales",""
"scenario 13_ignorance_90_3","buy all 50 ticklets",""
"scenario 13_ignorance_95_3","throw the tickets away",""
"scenario 13_ignorance_98_3","Stand in front of a supermarket to get people to buy tickets.",""
"scenario 13_ignorance_103_3","Buy all the tickets.",""
"scenario 13_ignorance_106_3","call relatives & friends and ask them to buy the tickets",""
"scenario 13_ignorance_120_3","ask someone else for help",""
"scenario 13_ignorance_124_3","offer ticket deals for buying multiple",""
"scenario 13_ignorance_127_3","check to make sure concert is tonight",""
"scenario 13_ignorance_134_3","Lie and say he lost the tickets",""
"scenario 13_ignorance_135_3","stop selling tickets altogether",""
"scenario 13_ignorance_146_3","He could get a close family member's credit card information and charge all 50 tickets to it.",""
"scenario 13_ignorance_152_3","ask his neighbors",""
"scenario 13_ignorance_157_3","Call family members. ",""
"scenario 13_ignorance_159_3","not sales them",""
"scenario 13_ignorance_165_3","Get a calendar",""
"scenario 13_ignorance_166_3","Try to coerce friends and family",""
"scenario 13_ignorance_168_3","Give up trying to reach the fundraising goal.",""
"scenario 13_ignorance_170_3","Jamie could sell the tickets online",""
"scenario 13_ignorance_176_3","sell the tickets through a third party source",""
"scenario 13_ignorance_180_3","call friends to see if they would buy a ticket",""
"scenario 13_ignorance_182_3","Make a listing on local social media sites.",""
"scenario 13_ignorance_183_3","forfeit the sales",""
"scenario 13_ignorance_184_3","Create a social media page ",""
"scenario 13_ignorance_185_3","Tell the school he was unable to sell the ticket",""
"scenario 13_ignorance_191_3","Contact other school parents and ask them to buy tickets.",""
"scenario 13_ignorance_202_3","he goes door to door trying to sell the rest",""
"scenario 13_ignorance_204_3","Buy the tickets himself",""
"scenario 13_ignorance_208_3","He can call and ask friends if they want to buy an extra ticket ",""
